fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2021-2022,Aug,15,KARNATAKA,1502,BENGALURU,26730,256.6729597,27,10,121.3151659,593,12,2064,26013,5564,4073,285,455,45.5,233.5835029,955,1808,6644,16393,1,50690,124335,2657,66.768337,11685,87,67.77,61.68,104.35,NA
2021-2022,Aug,15,KARNATAKA,1508,CHAMARAJA NAGARA,1960446,272.2117512,27,649,16.2,4094,0,16753,1957027,551656,85760,179808,32479,249.19483,5592.652299,71840,122573,130975,306482,97,216488,509834,20847,5327.257469,1020324,76,89.9,81.52,100.35,NA
2021-2022,Aug,15,KARNATAKA,1528,CHIKKABALLAPURA,4069885,273.750198,42,3069,3539.900844,13929,0,32649,4058493,863685,80924,531796,49248,275,14925.03347,94483,177146,139572,354679,958,216126,545271,46578,11110.13262,2058883,80,73.47,77.93,100.24,NA
2021-2022,Aug,15,KARNATAKA,1531,VIJAYANAGARA,4812989,264.0259537,44,756,1918.964323,8163,0,22053,5306253,1302641,111073,1118043,88393,0,15928.84941,120003,249239,159568,440829,1679,230080,633250,30216,14009.88509,2641332,66,83.81,92.96,100.06,NA
2021-2022,Oct,15,KARNATAKA,1506,BIDAR,4185496,286.7873917,37,500,3509.632327,8090,0,21505,4167894,973689,76996,687575,47801,220.73,15683.35682,109809,188392,141516,289207,188,237659,478703,29595,11952.99449,2171366,59,64.32,72.11,102.65,NA
2021-2022,Oct,15,KARNATAKA,1507,VIJAYPURA,4348343,284.6043869,37,930,5039.067225,11480,1,27191,4320287,770198,71525,52985,4715,483.27,17818.06355,114420,197105,162047,360682,646,321123,758059,38671,12295.72633,1988767,77,72.46,87.92,100.38,NA
2021-2022,Oct,15,KARNATAKA,1508,CHAMARAJA NAGARA,2594677,278.8822667,31,716,21.96,4685,0,16916,2587390,729214,85863,236630,32544,249.19483,7486.92671,80900,140012,131347,307148,217,217684,511646,21601,7215.77188,1345548,76,89.01,81.92,100.58,NA
2021-2022,Oct,15,KARNATAKA,1509,CHIKKAMAGALURU,2205766,279.1643957,41,191,2071.15973,12453,0,27742,2204856,338663,44903,70906,8903,63,8289.332659,53150,102446,94339,233797,490,161009,379220,40195,6155.172929,1123614,71,79.29,81.01,100.1,NA
2021-2022,Oct,15,KARNATAKA,1515,KALABURAGI,5307483,287.0434176,28,635,3237.836009,7932,2,46375,5275546,1247244,125923,74565,7026,369.15,18750.09354,182446,324752,230806,513970,157,399893,892767,54307,15143.10754,2712123,62,79.65,88.14,100.39,NA
2021-2022,Oct,15,KARNATAKA,1520,KOPPAL,6642090,269.1686519,41,2309,2144.133681,6839,0,26419,6612351,1094367,86856,962268,72930,446.17,20388.67973,158172,336115,193750,515129,1205,301371,898168,33258,17798.37605,3380380,74,87.38,89.29,99.95,NA
2021-2022,Oct,15,KARNATAKA,1524,SHIVAMOGGA,2960472,282.2956153,30,607,2349.016956,9251,1,16399,2954976,579856,86207,140666,19095,252.73661,10943.52125,97913,177611,159409,404168,255,234707,559423,25650,8341.767681,1462466,75,78.57,81.41,100.71,NA
